City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,marsabit,2.3284,37.9899,25.82,39,57,2.92,KE,1706461705
351,amahai,-3.3333,128.9167,26.4,83,100,1.72,ID,1706461706
352,saint-joseph,-21.3667,55.6167,25.21,92,98,6.65,RE,1706461706
353,north bay,46.3168,-79.4663,3.3,86,40,3.6,CA,1706461706
354,mersing,2.4312,103.8405,24.97,89,92,4.91,MY,1706461707
355,carrizal,10.3499,-66.9863,24.89,35,13,1.37,VE,1706461707
356,waingapu,-9.6567,120.2641,26.03,85,98,3.06,ID,1706461707
357,lumajang,-8.1335,113.2248,24.15,95,100,1.46,ID,1706461708
358,celestun,20.8667,-90.4,23.67,71,96,8.19,MX,1706461708
359,moyo,3.6609,31.7247,30.08,26,98,2.78,UG,1706461708
360,mejit,10.2753,170.8646,24.97,72,100,5.19,MH,1706461708
